epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.6640625,0.75,0.6666666666666666,0.375,0.0,0.6875
2,0.65692138671875,0.75,0.6666666666666666,0.375,0.0,0.6875
3,0.70599365234375,0.5,0.6,0.375,0.0,0.6875
4,0.64752197265625,0.75,0.75,0.375,0.0,0.6875
5,0.65338134765625,0.75,0.6666666666666666,0.375,0.0,0.6875
6,0.67279052734375,0.625,0.4,0.375,0.0,0.6875
7,0.6871337890625,0.625,0.5714285714285714,0.375,0.0,0.6875
8,0.71734619140625,0.25,0.0,0.375,0.0,0.6875
9,0.68365478515625,0.625,0.5714285714285714,0.375,0.0,0.6875
10,0.70184326171875,0.625,0.6666666666666666,0.375,0.0,0.6875
11,0.6478271484375,0.625,0.5714285714285714,0.375,0.0,0.6875
12,0.65875244140625,0.5,0.3333333333333333,0.375,0.0,0.6875
13,0.68035888671875,0.625,0.6666666666666666,0.375,0.0,0.6875
14,0.65728759765625,0.625,0.5714285714285714,0.375,0.0,0.6875
15,0.651611328125,0.5,0.3333333333333333,0.375,0.0,0.6875
16,0.68701171875,0.5,0.3333333333333333,0.375,0.0,0.6875
17,0.71356201171875,0.5,0.3333333333333333,0.375,0.0,0.6875
18,0.6845703125,0.5,0.5,0.375,0.0,0.6875
19,0.65045166015625,0.875,0.8571428571428571,0.375,0.0,0.6875
20,0.6884765625,0.5,0.6,0.375,0.0,0.6875
21,0.643798828125,0.75,0.8,0.375,0.0,0.6875
22,0.6865234375,0.5,0.3333333333333333,0.375,0.0,0.6875
23,0.73101806640625,0.25,0.0,0.375,0.0,0.6875
24,0.70831298828125,0.5,0.3333333333333333,0.375,0.0,0.6875
25,0.693115234375,0.5,0.3333333333333333,0.375,0.0,0.6875
26,0.67303466796875,0.5,0.3333333333333333,0.375,0.0,0.6875
27,0.6903076171875,0.375,0.4444444444444444,0.375,0.0,0.6875
28,0.65185546875,0.75,0.6666666666666666,0.375,0.0,0.6875
29,0.70257568359375,0.625,0.5714285714285714,0.375,0.0,0.6875
30,0.651611328125,0.875,0.8571428571428571,0.375,0.0,0.6875
31,0.71417236328125,0.375,0.2857142857142857,0.375,0.0,0.6875
32,0.6827392578125,0.5,0.0,0.375,0.0,0.6875
33,0.6849365234375,0.5,0.3333333333333333,0.375,0.0,0.6875
34,0.665283203125,0.625,0.5714285714285714,0.375,0.0,0.6875
35,0.6829833984375,0.5,0.3333333333333333,0.375,0.0,0.6875
36,0.73651123046875,0.25,0.25,0.375,0.0,0.6875
37,0.6937255859375,0.625,0.5714285714285714,0.375,0.0,0.6875
38,0.69342041015625,0.5,0.6,0.375,0.0,0.6875
39,0.66717529296875,0.75,0.75,0.375,0.0,0.6875
40,0.6968994140625,0.375,0.4444444444444444,0.375,0.0,0.6875
41,0.673828125,0.625,0.4,0.375,0.0,0.6875
42,0.6402587890625,0.875,0.8888888888888888,0.375,0.0,0.6875
43,0.6656494140625,0.625,0.5714285714285714,0.375,0.0,0.6875
44,0.67413330078125,0.25,0.25,0.375,0.0,0.6875
45,0.67083740234375,0.5,0.5,0.375,0.0,0.6875
46,0.72357177734375,0.25,0.25,0.375,0.0,0.6875
47,0.659423828125,0.75,0.8,0.375,0.0,0.6875
48,0.66387939453125,0.625,0.5714285714285714,0.375,0.0,0.6875
49,0.6810302734375,0.625,0.5714285714285714,0.375,0.0,0.6875
50,0.7462158203125,0.25,0.25,0.375,0.0,0.6875
51,0.70941162109375,0.375,0.2857142857142857,0.5,0.3333333333333333,0.6875
52,0.68414306640625,0.75,0.75,0.5,0.3333333333333333,0.6875
53,0.677001953125,0.625,0.5714285714285714,0.5,0.3333333333333333,0.6875
54,0.6964111328125,0.625,0.4,0.5,0.3333333333333333,0.6875
55,0.65960693359375,0.75,0.75,0.5,0.3333333333333333,0.6875
56,0.68670654296875,0.625,0.6666666666666666,0.5,0.3333333333333333,0.6875
57,0.71630859375,0.25,0.25,0.5,0.3333333333333333,0.6875
58,0.70806884765625,0.375,0.4444444444444444,0.5,0.3333333333333333,0.6875
59,0.663818359375,0.75,0.75,0.5,0.3333333333333333,0.6875
60,0.67572021484375,0.75,0.75,0.5,0.3333333333333333,0.6875
61,0.7244873046875,0.25,0.0,0.5,0.3333333333333333,0.6875
62,0.70208740234375,0.375,0.0,0.5,0.3333333333333333,0.6875
63,0.68048095703125,0.625,0.4,0.5,0.3333333333333333,0.6875
64,0.66766357421875,0.5,0.6,0.5,0.3333333333333333,0.6875
65,0.6375732421875,0.75,0.75,0.5,0.3333333333333333,0.6875
66,0.670166015625,0.625,0.5714285714285714,0.5,0.3333333333333333,0.6875
67,0.677734375,0.625,0.5714285714285714,0.5,0.3333333333333333,0.6875
68,0.66668701171875,0.625,0.5714285714285714,0.5,0.3333333333333333,0.6875
69,0.69061279296875,0.25,0.25,0.5,0.3333333333333333,0.6875
70,0.61968994140625,0.875,0.8571428571428571,0.5,0.3333333333333333,0.6875
71,0.673095703125,0.625,0.6666666666666666,0.5,0.3333333333333333,0.6875
72,0.6737060546875,0.5,0.5,0.5,0.3333333333333333,0.6875
