n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
2,42,4,4,25033,0.6534574361842368,0.6572995202193284,0.9893797790994052,0.7898548969259466,0.5739025748090241,0.4482149775009685,0.497904383997394,0.4011881200622903,0.5143906988271206,0.6534574361842368,0.5242020166424345,0.6666666666666666
2,123,4,4,25033,0.42983262094035873,0.6707449279851324,0.26283529554557594,0.3776760409853935,0.4903810681035564,0.5084183296256412,0.5071628260311165,0.4257994299505125,0.5597950578964137,0.42983262094035873,0.41056827064996365,0.0
2,456,4,4,25033,0.38101705748412096,0.7387081107333657,0.09230489137031193,0.1641042239844635,0.5041905793807998,0.5438339021500032,0.5147088454513745,0.3363259551207801,0.6055120212170739,0.38101705748412096,0.281817395387906,0.6666666666666666
2,789,4,4,25033,0.5343346782247433,0.719315803839505,0.4797912368005826,0.5756307109832902,0.594568458846604,0.5544307263037433,0.5595917025616005,0.5298828865798426,0.6066172189061417,0.5343346782247433,0.5443621744298213,0.0
2,1024,4,4,25033,0.608197179722766,0.6560160928143712,0.8510134725087997,0.7408992444655783,0.5275641205258252,0.49235040353051074,0.4957580512748557,0.46887739819086316,0.5441509570477091,0.608197179722766,0.5549729156292272,0.8
2,2048,4,4,25033,0.42595773578875884,0.7009916094584286,0.2230853258890642,0.3384587054599024,0.5369530626138501,0.5270332750410037,0.5199003485085297,0.415736550020383,0.5820914735625257,0.42595773578875884,0.39127794088633244,0.6666666666666666
2,3072,4,4,25033,0.4659050053928814,0.7544204322200393,0.279645588056803,0.4080403789958381,0.6240660536773648,0.5636038752909972,0.5521547636368176,0.46075235834799183,0.6239977386133637,0.4659050053928814,0.44406890001670457,0.0
2,4096,4,4,25033,0.6173850517317141,0.6591328413284133,0.8672168952542785,0.748991037266104,0.5528017981788799,0.5032914430322353,0.5016972845646027,0.4723289079511575,0.5526155911048042,0.6173850517317141,0.5598930852596032,1.0
2,5120,4,4,25033,0.6481045020572844,0.6568495111874668,0.9745114698385726,0.784752596212584,0.5256054031342571,0.4700629808497061,0.49695766361595495,0.41053623684384805,0.529181331821067,0.6481045020572844,0.5289765442492128,0.8
2,6144,4,4,25033,0.4504853593256901,0.5963335220838052,0.5112877776429179,0.5505456446448409,0.37763958377033746,0.42893246484749636,0.42233003727265706,0.4218298624046404,0.4819152706032298,0.4504853593256901,0.462568692856009,0.4
4,42,8,8,25025,0.6535064935064935,0.6573502722323049,0.9893772004370524,0.7898907170030773,0.5739895585672988,0.44824035350745683,0.4979045983474,0.4012088820182224,0.514445264039204,0.6535064935064935,0.5242668711724684,0.6666666666666666
4,123,8,8,25025,0.41386613386613386,0.6444337811900192,0.24456719679494962,0.3545718560239373,0.44780864548833094,0.490756814954462,0.4922988012977204,0.4088772030815046,0.5394114644443448,0.41386613386613386,0.39168394574935256,0.6666666666666666
4,456,8,8,25025,0.4403996003996004,0.7252827435242613,0.24135000607017118,0.3621789032610676,0.5258886695821756,0.5428849372331432,0.5326151269971953,0.4318547395923762,0.6006327022379195,0.4403996003996004,0.40979513314870153,0.5
4,789,8,8,25025,0.5179220779220779,0.7127146440285549,0.4484642466917567,0.550521609538003,0.5593697489842597,0.5464453225600172,0.5501004428406743,0.5153728254497425,0.5990867544878984,0.5179220779220779,0.5265010498785653,0.6666666666666666
4,1024,8,8,25025,0.610909090909091,0.6637658612475084,0.8287604710452835,0.737143319925492,0.545270802113172,0.5153434333167524,0.5099830889900725,0.4942732052844958,0.5623344781317525,0.610909090909091,0.5711667085132915,0.8888888888888888
4,2048,8,8,25025,0.5044955044955045,0.7014836795252225,0.43049654000242804,0.5335540174541077,0.542555651671529,0.5362262514287192,0.5387776817659199,0.5025649572483186,0.5885473144780137,0.5044955044955045,0.5123761989670187,0.75
4,3072,8,8,25025,0.5317482517482518,0.7366640127388535,0.4493140706567925,0.5581781162808235,0.6139222268741349,0.5654676143015894,0.5699382889829396,0.530066616793931,0.6196689755330956,0.5317482517482518,0.5389668130150957,0.6666666666666666
4,4096,8,8,25025,0.6375224775224775,0.6562275777655848,0.9437902148840597,0.774167849229467,0.537583098201456,0.48051619128519485,0.4956350209024438,0.42816456814402626,0.5361470130667784,0.6375224775224775,0.5377103821715965,0.6
4,5120,8,8,25025,0.6267732267732268,0.6788507821901324,0.8218404759014204,0.7435334175407765,0.5582641948337115,0.5506042928860522,0.5364026376700413,0.5291904176905761,0.5912075670021852,0.6267732267732268,0.5970521394813108,0.7272727272727273
4,6144,8,8,25025,0.45042957042957044,0.5963322240317213,0.5112298166808305,0.5505114880543844,0.37761301844504325,0.42887607349081935,0.42226208410933114,0.4217627095337979,0.4818932595341986,0.45042957042957044,0.46252501012195407,0.7272727272727273
8,42,16,16,25009,0.6516454076532449,0.6947653973676279,0.8399125470666828,0.7604750907291323,0.5939795152363238,0.5891032552191853,0.5643434911383982,0.5610231235559775,0.622577650526559,0.6516454076532449,0.6242106934673256,0.7272727272727273
8,123,16,16,25009,0.40081570634571556,0.638696385090841,0.207093404591279,0.3127722999312084,0.4388831037573456,0.4874722393171541,0.49064725245366364,0.39081708605889454,0.5353809484604594,0.40081570634571556,0.3660920334582445,0.5
8,456,16,16,25009,0.5288096285337278,0.7325650705344725,0.4478318960281793,0.555857078245138,0.597410554552879,0.562059822291261,0.5663600542999376,0.5270556786950803,0.6160768994167344,0.5288096285337278,0.5361801334367775,0.6666666666666666
8,789,16,16,25009,0.5310888080291095,0.723348100669243,0.46605125713591644,0.5668698060941828,0.5729135469029083,0.5563962725568438,0.5612475646559836,0.5278667558998134,0.6092876050425304,0.5310888080291095,0.5402231542640018,0.46153846153846156
8,1024,16,16,25009,0.5740333479947219,0.682948322527853,0.6589335600631605,0.6707260532253577,0.550925744583538,0.5336469303935033,0.5346640175359698,0.53383458053286,0.5809464997437553,0.5740333479947219,0.5772026135666742,0.7272727272727273
8,2048,16,16,25009,0.5254108520932464,0.7088975733890757,0.473703388801166,0.5679129200189305,0.5787528915922493,0.5450813727290944,0.5493882740564415,0.5207740572421584,0.5969793197813169,0.5254108520932464,0.535707929439382,0.4
8,3072,16,16,25009,0.455076172577872,0.7487727910238429,0.2593829709704846,0.3852954442940911,0.5818962521091529,0.5585355796611056,0.5458216505326495,0.44796228692728113,0.6188038601052244,0.455076172577872,0.4281090583222683,0.7692307692307693
8,4096,16,16,25009,0.637730417049862,0.6563898977954219,0.9438843677881695,0.7743124750896772,0.5376387766297229,0.481087510881182,0.4957628557892036,0.428375601531065,0.5366243500799314,0.637730417049862,0.5379704613497257,0.5454545454545454
8,5120,16,16,25009,0.6327322164020952,0.6788504053058216,0.8391837726223734,0.7505499579044567,0.567802685193596,0.5549387393954979,0.5369979497549419,0.5272792223408773,0.5941946924127115,0.6327322164020952,0.5980127197966028,0.7619047619047619
8,6144,16,16,25009,0.46923107681234755,0.6048758049678012,0.5590307299890683,0.5810503724277237,0.38074150332925427,0.4316381884608182,0.42758981191013756,0.4285201682145164,0.4865208961094577,0.46923107681234755,0.476842644442324,0.6
