n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
2,42,4,4,20096,0.5469247611464968,0.5469247611464968,1.0,0.7071122977450381,0.47715539912317056,0.2734623805732484,0.5,0.35355614887251907,0.2991266943551526,0.5469247611464968,0.3867372245479555,0.6666666666666666
2,123,4,4,20096,0.5467754777070064,0.5468757779437391,0.999363115276135,0.7069120864976187,0.4726660787961355,0.45525607079005137,0.4999012171657995,0.353894832191328,0.46385453653904896,0.5467754777070064,0.38702533286915763,0.6666666666666666
2,456,4,4,20096,0.44929339171974525,0.4883220651505839,0.14457283231735055,0.2230958230958231,0.44370760940594844,0.46503741305266993,0.48085313774022387,0.3982862628023918,0.46722266652881767,0.44929339171974525,0.38184472372563083,0.6666666666666666
2,789,4,4,20096,0.5469247611464968,0.5469247611464968,1.0,0.7071122977450381,0.5041633534621281,0.2734623805732484,0.5,0.35355614887251907,0.2991266943551526,0.5469247611464968,0.3867372245479555,0.6666666666666666
2,1024,4,4,20096,0.4530752388535032,0.0,0.0,0.0,0.5810199059077391,0.2265376194267516,0.5,0.3118043902606075,0.20527717206215895,0.4530752388535032,0.2825416971857913,0.0
2,2048,4,4,20096,0.5467754777070064,0.5468617789059778,0.9996360658720772,0.7069686635351651,0.4512378232082552,0.37343088945298886,0.4998729478179716,0.35359410125166596,0.38970729557900086,0.5467754777070064,0.3867581351124681,0.6666666666666666
2,3072,4,4,20096,0.4530752388535032,0.0,0.0,0.0,0.49090719275033623,0.2265376194267516,0.5,0.3118043902606075,0.20527717206215895,0.4530752388535032,0.2825416971857913,0.0
2,4096,4,4,20096,0.5453821656050956,0.5541163428438065,0.8640706032208171,0.6752221827230714,0.5312256481027785,0.524437271861538,0.5123757738783932,0.45890109301963555,0.5272226384953238,0.5453821656050956,0.47920272395020286,0.6666666666666666
2,5120,4,4,20096,0.4494924363057325,0.42436974789915966,0.01837867346010372,0.03523153396703584,0.4314387174449706,0.4372358423491721,0.4941426590804088,0.325048317027034,0.43602836553126184,0.4494924363057325,0.29784915038436105,0.0
2,6144,4,4,20096,0.5707105891719745,0.6182709625775465,0.5621872441088163,0.5888968310698117,0.5987499532216739,0.5709648220133823,0.5715933474799985,0.5698688351735792,0.5754044807068542,0.5707105891719745,0.5716546034986337,0.6666666666666666
4,42,8,8,20088,0.5469434488251692,0.5469434488251692,1.0,0.7071279163314561,0.4771740107354051,0.2734717244125846,0.5,0.35356395816572805,0.2991471362127705,0.5469434488251692,0.3867589813188823,0.6666666666666666
4,123,8,8,20088,0.5209080047789725,0.5521542817785261,0.6566851733867298,0.5999002244948866,0.5123501181641413,0.5074544375706475,0.5068394551693566,0.5014759775247042,0.5116511672687787,0.5209080047789725,0.5107167247263054,0.8
4,456,8,8,20088,0.44673436877737954,0.48529752257467007,0.19077091107672703,0.2738795243695283,0.43527588672559625,0.4607348796207741,0.473256019212685,0.4134978643158458,0.46304098996580834,0.44673436877737954,0.4003895315231957,0.5714285714285714
4,789,8,8,20088,0.5469434488251692,0.5469434488251692,1.0,0.7071279163314561,0.5044339842572687,0.2734717244125846,0.5,0.35356395816572805,0.2991471362127705,0.5469434488251692,0.3867589813188823,0.6666666666666666
4,1024,8,8,20088,0.4620171246515333,0.7922077922077922,0.02220806407572586,0.0432049579459938,0.5818751675310015,0.6245417120796292,0.5075879349056797,0.334507156788862,0.6402833601840555,0.4620171246515333,0.30715769706078305,0.0
4,2048,8,8,20088,0.5467941059338909,0.5468804461484837,0.9996359333758078,0.7069842291599614,0.45122086778206094,0.37344022307424185,0.4998729057055943,0.35360193228259434,0.3897239875464651,0.5467941059338909,0.3867798998209612,0.6666666666666666
4,3072,8,8,20088,0.45305655117483074,0.0,0.0,0.0,0.5213027978736084,0.22652827558741537,0.5,0.31179553941553323,0.20526023856243203,0.45305655117483074,0.28252202351859496,0.0
