epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.68572998046875,0.5,0.5,0.5,0.0,0.75
2,0.6744384765625,0.625,0.5714285714285714,0.5,0.0,0.75
3,0.70025634765625,0.625,0.6666666666666666,0.5,0.0,0.75
4,0.65667724609375,0.875,0.8888888888888888,0.5,0.0,0.75
5,0.6527099609375,0.75,0.6666666666666666,0.5,0.0,0.75
6,0.68548583984375,0.75,0.6666666666666666,0.5,0.0,0.75
7,0.684814453125,0.625,0.5714285714285714,0.5,0.0,0.75
8,0.7027587890625,0.375,0.0,0.5,0.0,0.75
9,0.69061279296875,0.625,0.5714285714285714,0.5,0.0,0.75
10,0.69415283203125,0.75,0.75,0.5,0.0,0.75
11,0.6614990234375,0.625,0.5714285714285714,0.5,0.0,0.75
12,0.6649169921875,0.625,0.4,0.5,0.0,0.75
13,0.70550537109375,0.375,0.4444444444444444,0.5,0.0,0.75
14,0.65875244140625,0.75,0.6666666666666666,0.5,0.0,0.75
15,0.66314697265625,0.625,0.5714285714285714,0.5,0.0,0.75
16,0.6800537109375,0.5,0.3333333333333333,0.5,0.0,0.75
17,0.71160888671875,0.375,0.2857142857142857,0.5,0.0,0.75
18,0.669677734375,0.625,0.5714285714285714,0.625,0.4,0.75
19,0.6551513671875,0.75,0.75,0.625,0.4,0.75
20,0.68756103515625,0.5,0.5,0.625,0.4,0.75
21,0.666015625,0.625,0.5714285714285714,0.625,0.4,0.75
22,0.7113037109375,0.375,0.2857142857142857,0.625,0.4,0.75
23,0.7216796875,0.25,0.0,0.625,0.4,0.75
24,0.71978759765625,0.375,0.2857142857142857,0.625,0.4,0.75
25,0.6951904296875,0.5,0.3333333333333333,0.625,0.4,0.75
26,0.68487548828125,0.5,0.3333333333333333,0.625,0.4,0.75
27,0.67498779296875,0.75,0.75,0.625,0.4,0.75
28,0.67401123046875,0.625,0.5714285714285714,0.625,0.4,0.75
29,0.693603515625,0.625,0.5714285714285714,0.625,0.4,0.75
30,0.646240234375,0.875,0.8571428571428571,0.625,0.4,0.75
31,0.72589111328125,0.25,0.0,0.625,0.4,0.75
32,0.69366455078125,0.375,0.0,0.625,0.4,0.75
33,0.6748046875,0.875,0.8888888888888888,0.625,0.4,0.75
34,0.6566162109375,0.625,0.6666666666666666,0.625,0.4,0.75
35,0.69342041015625,0.375,0.0,0.625,0.4,0.75
36,0.72869873046875,0.25,0.25,0.625,0.4,0.71875
37,0.696533203125,0.5,0.3333333333333333,0.625,0.4,0.6875
38,0.68731689453125,0.625,0.6666666666666666,0.625,0.4,0.6875
39,0.67236328125,0.625,0.4,0.625,0.4,0.6875
40,0.69775390625,0.375,0.4444444444444444,0.625,0.4,0.71875
41,0.6663818359375,0.75,0.6666666666666666,0.625,0.4,0.71875
42,0.66680908203125,0.75,0.8,0.625,0.4,0.71875
43,0.68359375,0.625,0.5714285714285714,0.625,0.4,0.65625
44,0.677001953125,0.375,0.4444444444444444,0.625,0.4,0.65625
45,0.68212890625,0.625,0.5714285714285714,0.625,0.4,0.65625
46,0.72943115234375,0.375,0.2857142857142857,0.625,0.4,0.65625
47,0.651123046875,0.875,0.8888888888888888,0.625,0.4,0.65625
48,0.68310546875,0.625,0.5714285714285714,0.625,0.4,0.65625
49,0.695556640625,0.5,0.5,0.625,0.4,0.625
50,0.7459716796875,0.125,0.0,0.625,0.4,0.65625
51,0.714599609375,0.25,0.0,0.625,0.4,0.65625
52,0.67535400390625,0.75,0.75,0.625,0.4,0.625
53,0.68304443359375,0.625,0.5714285714285714,0.625,0.4,0.625
54,0.70330810546875,0.5,0.3333333333333333,0.625,0.4,0.65625
55,0.6710205078125,0.625,0.5714285714285714,0.625,0.4,0.625
56,0.70166015625,0.625,0.6666666666666666,0.625,0.4,0.625
57,0.71685791015625,0.125,0.2222222222222222,0.625,0.4,0.625
58,0.72344970703125,0.375,0.4444444444444444,0.625,0.4,0.59375
59,0.68304443359375,0.5,0.5,0.625,0.4,0.59375
60,0.6756591796875,0.75,0.75,0.625,0.4,0.5625
61,0.70037841796875,0.375,0.2857142857142857,0.625,0.4,0.5625
62,0.7060546875,0.375,0.2857142857142857,0.625,0.4,0.5625
63,0.67498779296875,0.625,0.4,0.625,0.4,0.5625
64,0.6650390625,0.625,0.6666666666666666,0.625,0.4,0.5625
65,0.651611328125,0.625,0.6666666666666666,0.625,0.4,0.5625
66,0.6715087890625,0.625,0.5714285714285714,0.625,0.4,0.5625
67,0.67962646484375,0.625,0.5714285714285714,0.625,0.4,0.5625
68,0.66998291015625,0.75,0.75,0.625,0.4,0.5625
69,0.68572998046875,0.5,0.5,0.625,0.4,0.5625
70,0.623779296875,0.875,0.8571428571428571,0.625,0.4,0.5625
71,0.6876220703125,0.375,0.2857142857142857,0.625,0.4,0.5625
72,0.67987060546875,0.625,0.5714285714285714,0.625,0.4,0.5625
73,0.6962890625,0.375,0.0,0.625,0.4,0.5625
74,0.65338134765625,0.625,0.4,0.625,0.4,0.5625
75,0.66143798828125,0.625,0.6666666666666666,0.625,0.4,0.5625
76,0.6837158203125,0.5,0.3333333333333333,0.625,0.4,0.5625
77,0.646240234375,0.75,0.6666666666666666,0.625,0.4,0.5625
78,0.69244384765625,0.625,0.5714285714285714,0.625,0.4,0.53125
79,0.667236328125,0.75,0.75,0.625,0.4,0.5
80,0.68597412109375,0.625,0.5714285714285714,0.625,0.4,0.5
81,0.673583984375,0.75,0.75,0.625,0.4,0.5
82,0.6519775390625,0.875,0.8888888888888888,0.625,0.4,0.5
83,0.656005859375,0.75,0.75,0.625,0.4,0.5
84,0.66180419921875,0.625,0.5714285714285714,0.625,0.4,0.5
85,0.65771484375,0.75,0.8,0.625,0.4,0.5
86,0.655517578125,0.625,0.5714285714285714,0.625,0.4,0.5
87,0.6689453125,0.5,0.3333333333333333,0.625,0.4,0.5
88,0.68804931640625,0.5,0.5,0.625,0.4,0.5
89,0.654052734375,0.75,0.6666666666666666,0.625,0.4,0.46875
90,0.65521240234375,0.5,0.0,0.625,0.4,0.46875
91,0.67779541015625,0.625,0.6666666666666666,0.625,0.4,0.4375
92,0.677490234375,0.75,0.75,0.625,0.4,0.4375
93,0.6630859375,0.75,0.75,0.625,0.4,0.4375
94,0.6749267578125,0.75,0.6666666666666666,0.625,0.4,0.4375
95,0.65618896484375,0.625,0.5714285714285714,0.625,0.4,0.4375
96,0.6715087890625,0.75,0.6666666666666666,0.625,0.4,0.4375
97,0.676025390625,0.75,0.6666666666666666,0.625,0.4,0.4375
98,0.6533203125,0.875,0.8571428571428571,0.625,0.4,0.4375
99,0.67999267578125,0.625,0.4,0.625,0.4,0.4375
